prompt,animal,families
"adorable red panda astronaut floating in space with stars","red panda","tshirt,poster,mug,sticker"
"majestic lion king with golden mane and crown","lion","poster,canvas,blanket,pillow"
"cute baby elephant playing with colorful butterflies","elephant","tshirt,hoodie,phone_case,tote_bag"
"wise old owl perched on magical glowing tree branch","owl","poster,framed_print,mug,sticker"
"playful dolphins jumping through rainbow ocean waves","dolphin","blanket,pillow,towel,water_bottle"
"fierce tiger with blue lightning eyes in jungle","tiger","poster,canvas,tshirt,hoodie"
"adorable penguin wearing winter scarf and hat","penguin","tshirt,mug,phone_case,sticker"
"mystical fox with nine tails under moonlight","fox","poster,canvas,blanket,pillow"
"cute raccoon scientist with lab coat and beakers","raccoon","tshirt,mug,sticker,tote_bag"
"magnificent eagle soaring through mountain clouds","eagle","poster,framed_print,canvas,blanket"
